Helix.A-Helix,Helix.3-Helix,Helix.5-Helix,Helix.PPII-Helix,Sheet.B-Sheet,Sheet.B-Bridge,Turn.Turn,Turn.Bend,Coil
0,0,0,0,109,9,1,22,69
0,0,0,0,110,10,1,20,69
0,0,0,0,112,9,0,24,65
0,0,0,2,109,9,1,22,67
0,0,0,0,103,11,1,23,72
0,0,0,0,107,13,0,20,70
0,0,0,0,120,9,0,23,58
0,0,0,0,121,6,1,22,60
0,0,0,0,114,9,1,20,66
0,0,0,0,117,10,1,26,56
0,0,0,0,113,5,1,25,66
0,0,0,0,107,10,1,23,69
0,0,0,0,116,12,0,21,61
0,0,0,0,121,5,0,22,62
0,0,0,0,118,8,1,20,63
0,0,0,0,117,7,0,24,62
0,0,0,0,110,11,0,27,62
0,0,0,0,112,10,1,21,66
0,0,0,0,106,10,2,22,70
0,0,0,2,117,7,2,23,59
0,0,0,0,122,7,1,19,61
0,0,0,0,112,6,2,23,67
0,0,0,0,103,14,0,21,72
0,0,0,0,109,12,2,22,65
0,0,0,0,112,12,1,24,61
0,0,0,0,126,5,1,20,58
0,0,0,2,115,6,0,24,63
0,0,0,0,117,5,2,25,61
0,0,0,2,125,7,1,22,53
0,0,0,0,122,7,2,20,59
0,0,0,0,114,8,0,24,64
0,0,0,0,121,8,0,23,58
0,0,0,0,120,7,1,19,63
0,0,0,0,115,9,0,23,63
0,0,0,0,114,7,1,21,67
0,0,0,0,119,8,1,21,61
0,0,0,0,115,6,0,25,64
0,0,0,0,112,9,0,24,65
0,0,0,0,118,8,0,24,60
0,0,0,0,121,7,0,21,61
0,0,0,0,127,7,0,21,55
0,0,0,2,116,9,0,20,63
0,0,0,0,109,9,0,23,69
0,0,0,2,123,8,0,21,56
0,0,0,2,116,5,2,25,60
0,0,0,0,113,8,0,24,65
0,0,0,0,116,8,1,23,62
0,0,0,0,114,8,0,25,63
0,0,0,0,113,7,1,24,65
0,0,0,1,114,7,2,22,64
0,0,0,0,127,9,1,20,53
0,0,0,0,120,4,2,22,62
0,0,0,0,125,7,1,24,53
0,0,0,0,119,8,4,20,59
0,0,0,0,110,8,3,24,65
0,0,0,0,115,11,0,24,60
0,0,0,0,116,9,1,21,63
0,0,0,0,121,10,0,21,58
0,0,0,0,115,5,0,29,61
0,0,0,0,117,8,2,24,59
0,0,0,0,119,10,1,21,59
0,0,0,1,122,6,2,22,57
0,0,0,0,107,9,1,27,66
0,0,0,2,121,6,0,21,60
0,0,0,0,115,9,3,22,61
0,0,0,0,107,10,3,23,67
0,0,0,0,115,10,4,19,62
0,0,0,0,112,9,0,23,66
0,0,0,0,115,10,2,22,61
0,0,0,0,118,6,4,24,58
0,0,0,2,119,7,0,24,58
0,0,0,0,108,7,4,23,68
0,0,0,0,119,4,2,22,63
0,0,0,0,116,6,2,25,61
0,0,0,0,118,9,1,25,57
0,0,0,0,119,9,1,20,61
0,0,0,0,111,12,2,19,66
0,0,0,0,104,9,2,24,71
0,0,0,0,111,8,1,24,66
0,0,0,0,125,6,1,19,59
0,0,0,0,118,7,2,22,61
0,0,0,0,116,10,1,23,60
0,0,0,0,112,11,2,20,65
0,0,0,0,119,9,0,22,60
0,0,0,0,104,10,0,22,74
0,0,0,2,104,11,0,24,69
